Model,Accuracy,Recall,F1 Score,Precision,Confusion Matrix
ExtraTreesEntr,0.89375,0.8751864187435875,0.8938575772088703,0.8967596774694233,"[[22  0  3  1  0  0]
 [ 0 56  1  0  0  0]
 [ 6  0 15  0  0  0]
 [ 0  3  0 25  1  0]
 [ 0  0  0  0 14  0]
 [ 0  0  2  0  0 11]]"
XGBoost,0.8625,0.8465205897147822,0.8663189794526367,0.8745524311257069,"[[20  0  6  0  0  0]
 [ 2 53  1  1  0  0]
 [ 6  0 15  0  0  0]
 [ 0  3  0 26  0  0]
 [ 0  0  0  0 14  0]
 [ 1  0  2  0  0 10]]"
RandomForestGini,0.875,0.8523685429311564,0.8790532755865781,0.8885444297082227,"[[20  0  6  0  0  0]
 [ 0 55  2  0  0  0]
 [ 6  0 15  0  0  0]
 [ 0  3  0 26  0  0]
 [ 0  0  0  0 14  0]
 [ 0  0  3  0  0 10]]"
ExtraTreesGini,0.9,0.8815966751538439,0.9004106075119005,0.9049315702318331,"[[23  0  3  0  0  0]
 [ 0 56  1  0  0  0]
 [ 6  0 15  0  0  0]
 [ 0  3  0 25  1  0]
 [ 0  0  0  0 14  0]
 [ 0  0  2  0  0 11]]"
RandomForestEntr,0.88125,0.8651890557516692,0.8835436076604554,0.8881415628991061,"[[20  0  5  1  0  0]
 [ 0 55  2  0  0  0]
 [ 6  0 15  0  0  0]
 [ 0  3  0 26  0  0]
 [ 0  0  0  0 14  0]
 [ 0  0  2  0  0 11]]"
LightGBMLarge,0.875,0.8686753355537385,0.8754560008956561,0.8777566851578917,"[[19  1  6  0  0  0]
 [ 0 54  1  1  1  0]
 [ 5  1 15  0  0  0]
 [ 0  3  0 26  0  0]
 [ 0  0  0  0 14  0]
 [ 0  0  1  0  0 12]]"
LightGBMXT,0.8625,0.8410260842202767,0.8651723945560518,0.8716854184514886,"[[21  0  4  1  0  0]
 [ 2 53  1  1  0  0]
 [ 6  0 15  0  0  0]
 [ 0  3  0 26  0  0]
 [ 0  0  0  1 13  0]
 [ 0  0  3  0  0 10]]"
LightGBM,0.85,0.8363232351435618,0.8531665883778891,0.8612002269067485,"[[21  0  4  1  0  0]
 [ 1 52  2  1  1  0]
 [ 7  0 14  0  0  0]
 [ 1  3  0 25  0  0]
 [ 0  0  0  0 14  0]
 [ 0  0  3  0  0 10]]"
NeuralNetTorch,0.79375,0.7532718843971113,0.7850996199178193,0.7938930066643882,"[[23  0  2  1  0  0]
 [ 1 53  1  1  1  0]
 [13  0  6  1  0  1]
 [ 1  3  0 23  2  0]
 [ 0  0  0  2 12  0]
 [ 0  0  3  0  0 10]]"
NeuralNetFastAI,0.80625,0.7691930976867455,0.8054654726406199,0.8076589830270061,"[[19  0  7  0  0  0]
 [ 0 55  1  1  0  0]
 [10  0  9  1  0  1]
 [ 0  4  0 23  2  0]
 [ 0  0  0  1 13  0]
 [ 0  0  3  0  0 10]]"
KNeighborsDist,0.80625,0.7926491737744006,0.8083043631329586,0.8153817401960785,"[[16  0  8  0  0  2]
 [ 0 53  2  0  2  0]
 [ 8  1 12  0  0  0]
 [ 1  3  1 23  1  0]
 [ 0  0  0  0 14  0]
 [ 0  0  1  1  0 11]]"
KNeighborsUnif,0.73125,0.7060677777556181,0.727997436959267,0.7288270850541071,"[[16  0  7  1  0  2]
 [ 2 51  0  1  3  0]
 [ 7  2  7  2  0  3]
 [ 1  3  3 20  2  0]
 [ 0  0  0  2 12  0]
 [ 1  0  1  0  0 11]]"
